iter	Passed	Remaining
0	1	124
1	2	110
2	3	99
3	3	89
4	4	85
5	5	83
6	6	81
7	7	80
8	7	78
9	8	76
10	9	74
11	9	72
12	10	70
13	11	68
14	11	66
15	12	65
16	13	63
17	13	61
18	14	60
19	14	59
20	15	58
21	16	56
22	16	55
23	17	54
24	17	53
25	18	52
26	19	51
27	19	50
28	20	49
29	21	49
30	21	48
31	22	47
32	22	46
33	23	45
34	24	44
35	24	44
36	25	43
37	26	42
38	27	43
39	28	43
40	29	43
41	30	41
42	31	41
43	32	41
44	33	40
45	33	39
46	34	38
47	34	37
48	35	36
49	35	35
50	36	35
51	37	34
52	37	33
53	38	32
54	38	31
55	39	30
56	39	30
57	40	29
58	41	28
59	41	27
60	42	27
61	43	26
62	43	25
63	44	24
64	44	24
65	45	23
66	46	22
67	46	21
68	47	21
69	47	20
70	48	19
71	49	19
72	49	18
73	50	17
74	50	16
75	51	16
76	51	15
77	52	14
78	53	14
79	53	13
80	54	12
81	54	12
82	55	11
83	56	10
84	56	10
85	57	9
86	58	8
87	58	8
88	59	7
89	59	6
90	60	5
91	61	5
92	61	4
93	62	3
94	62	3
95	63	2
96	63	1
97	64	1
98	65	0
99	65	0
