iter	Passed	Remaining
0	153	153770
1	155	77686
2	157	52219
3	158	39441
4	159	31803
5	161	26723
6	162	23081
7	163	20324
8	165	18181
9	166	16504
10	168	15187
11	170	14014
12	171	13016
13	173	12211
14	174	11485
15	176	10830
16	177	10252
17	178	9750
18	182	9445
19	184	9040
20	185	8655
21	186	8304
22	188	7987
23	189	7693
24	190	7425
25	191	7190
26	193	6969
27	196	6811
28	197	6619
29	198	6428
30	199	6250
31	200	6079
32	202	5928
33	203	5778
34	204	5635
35	205	5500
36	206	5372
37	207	5257
38	208	5142
39	211	5086
40	213	4982
41	213	4880
42	214	4784
43	215	4691
44	216	4602
45	217	4519
46	218	4438
47	219	4360
48	220	4283
49	221	4209
50	222	4147
51	223	4079
52	224	4014
53	226	3976
54	227	3915
55	228	3856
56	229	3801
57	230	3746
58	231	3690
59	232	3636
60	232	3583
61	233	3534
62	234	3485
63	235	3437
64	235	3390
65	236	3345
66	237	3302
67	238	3262
68	238	3220
69	241	3211
70	242	3173
71	243	3135
72	243	3098
73	244	3061
74	245	3026
75	246	2993
76	246	2960
77	247	2929
78	248	2897
79	249	2865
80	249	2833
81	250	2802
82	250	2769
83	251	2740
84	251	2711
85	252	2683
86	253	2656
87	253	2631
88	257	2635
89	258	2612
90	259	2587
91	259	2563
92	260	2539
93	261	2515
94	261	2492
95	262	2469
96	262	2446
97	263	2424
98	264	2403
99	264	2383
100	265	2362
101	266	2343
102	266	2323
103	267	2303
104	268	2287
105	269	2269
106	271	2265
107	272	2248
108	272	2230
109	273	2213
110	274	2197
111	274	2180
112	276	2167
113	276	2151
114	277	2136
115	278	2122
116	279	2106
117	279	2091
118	280	2077
119	281	2062
120	282	2049
121	282	2033
122	283	2019
123	285	2018
124	286	2006
125	287	1992
126	287	1978
127	288	1964
128	289	1951
129	289	1938
130	290	1925
131	291	1913
132	291	1901
133	292	1889
134	292	1877
135	293	1865
136	294	1853
137	294	1841
138	295	1829
139	296	1819
140	297	1814
141	298	1804
142	303	1819
143	304	1811
144	305	1802
145	306	1791
146	306	1781
147	307	1770
148	308	1760
149	308	1749
150	309	1740
151	310	1731
152	311	1722
153	311	1712
154	312	1703
155	313	1693
156	313	1683
157	314	1674
158	317	1679
159	318	1670
160	318	1660
161	319	1651
162	319	1642
163	320	1633
164	321	1625
165	321	1616
166	322	1607
167	322	1599
168	323	1591
169	324	1584
170	325	1579
171	326	1571
172	327	1563
173	327	1556
174	328	1548
175	329	1540
176	331	1539
177	332	1534
178	333	1527
179	333	1521
180	334	1514
181	335	1507
182	336	1500
183	336	1493
184	337	1486
185	338	1479
186	338	1472
187	339	1465
188	340	1459
189	340	1452
190	341	1445
191	341	1438
192	342	1432
193	343	1425
194	343	1419
195	344	1412
196	347	1416
197	348	1410
198	348	1403
199	349	1397
200	350	1391
201	350	1385
202	351	1379
203	351	1373
204	352	1367
205	353	1362
206	354	1356
207	354	1350
208	355	1345
209	355	1339
210	356	1333
211	357	1327
212	357	1322
213	358	1316
214	359	1310
215	359	1305
216	362	1308
217	363	1302
218	363	1297
219	364	1292
220	365	1287
221	365	1282
222	366	1277
223	367	1271
224	367	1266
225	368	1261
226	368	1256
227	369	1251
228	370	1246
229	370	1241
230	371	1236
231	372	1231
232	372	1226
233	373	1222
234	374	1218
235	375	1214
236	376	1213
237	377	1208
238	378	1203
239	378	1199
240	379	1194
241	380	1190
242	380	1185
243	381	1181
244	382	1177
245	382	1173
246	383	1168
247	384	1164
248	384	1160
249	385	1155
250	385	1151
251	386	1147
252	387	1142
253	387	1139
254	388	1135
255	389	1131
256	392	1134
257	393	1130
258	393	1126
259	394	1122
260	395	1118
261	395	1114
262	396	1110
263	396	1106
264	397	1102
265	398	1098
266	398	1094
267	399	1090
268	400	1087
269	400	1083
270	401	1079
271	402	1076
272	402	1073
273	403	1069
274	404	1065
275	405	1063
276	406	1061
277	407	1057
278	407	1054
279	408	1050
280	409	1047
281	409	1043
282	410	1039
283	411	1036
284	411	1032
285	412	1029
286	412	1025
287	413	1022
288	414	1018
289	414	1015
290	415	1012
291	416	1008
292	417	1007
293	418	1004
294	419	1001
295	425	1011
296	428	1013
297	429	1011
298	430	1008
299	431	1005
300	431	1002
301	432	999
302	433	996
303	433	993
304	434	989
305	438	994
306	439	992
307	440	989
308	440	985
309	441	982
310	442	979
311	442	976
312	443	973
313	443	969
314	444	966
315	445	964
316	446	961
317	446	958
318	447	954
319	448	952
320	448	948
321	449	945
322	450	943
323	451	942
324	452	940
325	453	937
326	453	934
327	454	931
328	455	928
329	455	925
330	456	922
331	457	919
332	457	916
333	458	913
334	459	911
335	459	908
336	460	906
337	461	903
338	462	900
339	462	898
340	463	895
341	464	892
342	464	889
343	465	887
344	468	888
345	468	886
346	469	883
347	470	880
348	470	877
349	471	875
350	472	872
351	472	870
352	473	867
353	474	865
354	475	863
355	475	860
356	476	858
357	477	855
358	477	853
359	478	850
360	479	847
361	479	845
362	480	842
363	483	844
364	483	841
365	484	839
366	485	836
367	485	834
368	486	831
369	487	829
370	487	826
371	488	824
372	488	821
373	489	819
374	490	816
375	490	814
376	491	812
377	492	810
378	492	807
379	493	805
380	494	803
381	494	800
382	495	798
383	498	799
384	499	797
385	499	795
386	500	792
387	501	790
388	501	788
389	502	786
390	503	783
391	503	781
392	504	779
393	505	776
394	505	774
395	506	772
396	506	770
397	507	767
398	508	765
399	509	763
400	509	761
401	510	759
402	512	759
403	513	757
404	514	755
405	515	753
406	515	751
407	516	749
408	516	746
409	517	744
410	518	742
411	518	740
412	519	738
413	520	736
414	520	733
415	521	731
416	521	729
417	522	727
418	523	725
419	523	723
420	524	721
421	524	718
422	525	716
423	526	714
424	528	715
425	529	713
426	530	711
427	531	709
428	532	708
429	532	706
430	533	704
431	534	702
432	534	700
433	535	698
434	536	696
435	536	694
436	537	692
437	538	690
438	538	688
439	539	686
440	539	684
441	540	682
442	544	684
443	545	683
444	547	682
445	547	680
446	548	678
447	549	676
448	549	674
449	550	672
450	551	670
451	551	668
452	552	667
453	553	665
454	553	663
455	554	661
456	555	659
457	555	657
458	558	658
459	559	657
460	560	655
461	561	653
462	561	651
463	562	649
464	563	648
465	564	646
466	564	644
467	565	642
468	565	640
469	566	638
470	567	636
471	567	634
472	568	633
473	568	631
474	569	629
475	570	628
476	574	629
477	575	627
478	575	626
479	576	624
480	576	622
481	577	620
482	578	618
483	578	617
484	579	615
485	580	613
486	580	611
487	581	609
488	582	608
489	582	606
490	583	604
491	584	603
492	584	601
493	585	599
494	586	597
495	588	598
496	589	596
497	590	594
498	590	593
499	591	591
500	592	589
501	592	588
502	593	586
503	593	584
504	594	582
505	595	581
506	595	579
507	596	577
508	597	575
509	597	574
510	598	572
511	599	571
512	600	569
513	600	567
514	601	566
515	603	566
516	604	565
517	605	563
518	606	561
519	606	560
520	607	558
521	607	556
522	608	554
523	609	553
524	609	551
525	610	550
526	611	548
527	611	546
528	612	545
529	612	543
530	613	542
531	614	540
532	615	538
533	615	537
534	616	535
535	619	536
536	620	535
537	621	533
538	622	532
539	623	530
540	624	529
541	624	528
542	625	526
543	626	524
544	626	523
545	627	521
546	628	520
547	628	518
548	629	517
549	630	515
550	630	513
551	631	512
552	632	510
553	635	511
554	636	509
555	636	508
556	637	507
557	638	505
558	638	503
559	639	502
560	639	500
561	640	499
562	641	497
563	641	496
564	642	494
565	643	493
566	643	491
567	644	490
568	644	488
569	645	486
570	646	485
571	646	483
572	648	483
573	649	481
574	650	480
575	650	478
576	651	477
577	651	475
578	652	474
579	653	472
580	653	471
581	654	470
582	655	468
583	655	467
584	656	465
585	657	464
586	657	462
587	658	461
588	658	459
589	659	458
590	660	456
591	661	455
592	665	456
593	666	455
594	667	454
595	668	453
596	669	451
597	669	450
598	670	448
599	671	447
600	671	446
601	672	444
602	673	443
603	673	441
604	674	440
605	675	438
606	675	437
607	676	436
608	677	434
609	679	434
610	680	433
611	680	431
612	681	430
613	682	428
614	682	427
615	683	426
616	684	424
617	684	423
618	685	421
619	685	420
620	686	419
621	687	417
622	687	416
623	688	414
624	689	413
625	689	412
626	690	411
627	691	409
628	692	408
629	695	408
630	695	406
631	696	405
632	696	404
633	697	402
634	698	401
635	698	399
636	699	398
637	700	397
638	700	395
639	701	394
640	702	393
641	702	391
642	703	390
643	704	389
644	704	387
645	705	386
646	706	385
647	707	384
648	707	382
649	715	385
650	715	383
651	716	382
652	717	381
653	717	379
654	718	378
655	719	377
656	720	375
657	720	374
658	721	373
659	722	372
660	727	372
661	728	372
662	729	370
663	730	369
664	731	368
665	731	366
666	732	365
667	732	364
668	733	362
669	734	361
670	734	360
671	735	358
672	736	357
673	736	356
674	737	355
675	742	355
676	743	354
677	744	353
678	745	352
679	746	351
680	746	349
681	747	348
682	748	347
683	748	345
684	749	344
685	750	343
686	750	342
687	751	340
688	752	339
689	752	338
690	757	338
691	757	337
692	758	335
693	759	334
694	759	333
695	760	332
696	761	330
697	761	329
698	762	328
699	762	326
700	763	325
701	764	324
702	764	323
703	765	321
704	766	320
705	766	319
706	767	318
707	767	316
708	771	316
709	772	315
710	773	314
711	774	313
712	774	311
713	775	310
714	776	309
715	776	308
716	777	306
717	777	305
718	778	304
719	779	303
720	779	301
721	780	300
722	781	299
723	781	297
724	782	296
725	783	295
726	786	295
727	788	294
728	788	293
729	789	291
730	790	290
731	790	289
732	791	288
733	792	287
734	792	285
735	793	284
736	794	283
737	794	282
738	795	280
739	796	279
740	797	278
741	798	277
742	803	277
743	805	277
744	806	276
745	807	274
746	808	273
747	808	272
748	809	271
749	810	270
750	811	268
751	811	267
752	812	266
753	812	265
754	813	263
755	814	262
756	818	262
757	819	261
758	820	260
759	821	259
760	821	258
761	822	256
762	823	255
763	823	254
764	824	253
765	825	252
766	825	250
767	826	249
768	826	248
769	827	247
770	828	246
771	829	244
772	833	244
773	834	243
774	834	242
775	835	241
776	835	239
777	836	238
778	837	237
779	837	236
780	838	235
781	839	233
782	839	232
783	840	231
784	840	230
785	841	229
786	842	227
787	842	226
788	843	225
789	844	224
790	848	224
791	849	223
792	851	222
793	852	221
794	852	219
795	853	218
796	853	217
797	854	216
798	855	215
799	856	214
800	856	212
801	857	211
802	857	210
803	858	209
804	859	208
805	863	207
806	864	206
807	865	205
808	865	204
809	866	203
810	867	202
811	867	200
812	868	199
813	869	198
814	869	197
815	870	196
816	870	195
817	871	193
818	872	192
819	872	191
820	873	190
821	874	189
822	875	188
823	878	187
824	879	186
825	880	185
826	881	184
827	881	183
828	882	182
829	883	180
830	883	179
831	884	178
832	885	177
833	885	176
834	886	175
835	887	174
836	888	173
837	889	172
838	894	171
839	896	170
840	897	169
841	898	168
842	899	167
843	899	166
844	900	165
845	901	164
846	902	162
847	902	161
848	903	160
849	904	159
850	904	158
851	905	157
852	911	156
853	912	155
854	913	154
855	914	153
856	915	152
857	916	151
858	917	150
859	918	149
860	918	148
861	919	147
862	920	146
